Date,Close,Returns,Returns_5d,Returns_20d,SMA_5,SMA_20,SMA_60,RSI,MACD,BB_middle,BB_upper,BB_lower,Volatility_20,VIX,Fed_Rate,Price_SMA20_ratio
2015-04-28,2114.76,,,,,,,,0.0,,,,,15.0,4.5,
2015-04-29,2106.85,-0.003740377158637509,,,,,,,-0.6309971509972456,,,,,15.0,4.5,
2015-04-30,2085.51,-0.010128865367728945,,,,,,,-2.8205134698582697,,,,,15.0,4.5,
2015-05-01,2108.29,0.010922987662490113,,,,,,,-2.6865959023580217,,,,,15.0,4.5,
2015-05-04,2114.49,0.0029407719051932624,,,2105.98,,,,-2.0564713591325017,,,,,15.0,4.5,
2015-05-05,2089.46,-0.011837369767650707,-0.011963532504870589,,2100.92,,,,-3.5360436245928213,,,,,15.0,4.5,
2015-05-06,2080.15,-0.0044556966871822645,-0.012672947765621556,,2095.58,,,,-5.397633933719135,,,,,15.0,4.5,
2015-05-07,2088.0,0.0037737663149290945,0.0011939525583668509,,2096.078,,,,-6.168422535641639,,,,,15.0,4.5,
2015-05-08,2116.1,0.01345785440613012,0.003704423964445036,,2097.6400000000003,,,,-4.460425884319648,,,,,15.0,4.5,
2015-05-11,2105.33,-0.005089551533481451,-0.004332013866227724,,2095.808,,,,-3.9305661046878413,,,,,15.0,4.5,
2015-05-12,2099.12,-0.002949656348410934,0.004623204081437349,,2097.74,,,,-3.9660256379715975,,,,,15.0,4.5,
2015-05-13,2098.48,-0.00030488966805131135,0.00881186452900029,,2101.406,,,,-3.999664581279376,,,,,15.0,4.5,
2015-05-14,2121.1,0.010779230681254859,0.015852490421455867,,2108.026,,,,-2.175995211150166,,,,,15.0,4.5,
2015-05-15,2122.73,0.0007684691905143204,0.0031331222532016145,,2109.352,,,52.33875227419445,-0.5923682663346881,,,,,15.0,4.5,
2015-05-18,2129.2,0.003047961822747025,0.011337890021991814,,2114.1259999999997,,,54.082325002827005,1.1712410866271057,,,,,15.0,4.5,
2015-05-19,2127.83,-0.0006434341536727395,0.013677159952742102,,2119.868,,,56.158994833255115,2.430351080125547,,,,,15.0,4.5,
2015-05-20,2125.85,-0.0009305254649102368,0.013042773817239173,,2125.342,,,63.361155272919994,3.231188242209555,,,,,15.0,4.5,
2015-05-21,2130.82,0.002337888374062347,0.0045825279336195734,,2127.286,,,58.46038302666179,4.2182693436461705,,,,,15.0,4.5,
2015-05-22,2126.06,-0.0022338817919862475,0.0015687346011974412,,2127.952,,,54.39222534355789,4.563836937722044,,,,,15.0,4.5,
2015-05-26,2104.2,-0.01028192995494015,-0.01174149915461209,,2122.952,2109.7165,,55.7336237747004,3.03875357766492,2109.7165,2141.2021861546896,2078.2308138453104,,15.0,4.5,0.9973851936978262
2015-05-27,2123.48,0.00916262712669913,-0.0020443362486664007,0.004123399345552059,2122.082,2110.1524999999997,,65.6414699299689,3.3472637248833053,2110.1524999999997,2142.1692724958752,2078.135727504124,0.00711187672836509,15.0,4.5,1.0063158942303934
2015-05-28,2120.79,-0.0012667884792887385,-0.002380224380835849,0.006616512803474306,2121.0699999999997,2110.8495,,62.29471316085484,3.336241604044517,2110.8495,2143.16906844097,2078.5299315590296,0.007060522990961292,15.0,4.5,1.0047092414688967
2015-05-29,2107.39,-0.006318400218786491,-0.010995766887864855,0.010491438545008114,2116.384,2111.9435,,46.329540665823856,2.220640322998861,2111.9435,2142.057581528677,2081.8294184713227,0.006809735263981124,15.0,4.5,0.9978439290634432
2015-06-01,2111.73,0.0020594194714789182,-0.0067401672577442895,0.0016316540893330789,2113.518,2112.1155,,52.851541614685466,1.6674981190690232,2112.1155,2142.180975549208,2082.0500244507916,0.00637314208208883,15.0,4.5,0.9998174815723857
2015-06-02,2109.6,-0.0010086516742198182,0.0025662959794696683,-0.002312614389285317,2114.598,2111.871,,54.84557055668575,1.0452072399889403,2111.871,2141.9347035222495,2081.8072964777507,0.00634162253855018,15.0,4.5,0.9989246502272155
2015-06-03,2114.07,0.0021188850967008843,-0.004431405052084281,0.011778162778899981,2112.716,2113.1014999999998,,56.961686165937294,0.9023274089149709,2113.1014999999998,2141.2569887796512,2084.9460112203483,0.005719005130043983,15.0,4.5,1.0004583310361572
